FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_657a,210010,West Eifel Volcanic Field,10001,Confirmed Eruption,,,Ulmener Maar,,Isotopic: 14C (calibrated),,-8740,150,,0,0,,,,,,,,,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_657b,210010,West Eifel Volcanic Field,10002,Confirmed Eruption,,,"Strohn, Pulvermaar",,Isotopic: 14C (uncalibrated),,-8300,300,,0,0,,,,,,,,,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_657c,210020,Chaine des Puys,10003,Confirmed Eruption,,,Western Puy de Dôme,,Isotopic: 14C (uncalibrated),,-7840,200,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_657d,210020,Chaine des Puys,10004,Confirmed Eruption,,,Puy Mey,,Radiogenic: Thermoluminescence,?,-7740,,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_657e,210020,Chaine des Puys,10005,Confirmed Eruption,,,,Taphanel tephra,Isotopic: 14C (uncalibrated),,-7020,100,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_657f,210020,Chaine des Puys,10006,Confirmed Eruption,,,"Puys Chopine, Vasset, Cratère Kilian",,Isotopic: 14C (uncalibrated),?,-6550,,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6580,210020,Chaine des Puys,10007,Confirmed Eruption,,,Puy de Pariou,,Radiogenic: Thermoluminescence,?,-6250,,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6581,210020,Chaine des Puys,10009,Confirmed Eruption,,,"Puy de Lassolas, Puy de la Vache",,Isotopic: 14C (uncalibrated),,-6020,150,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6582,210020,Chaine des Puys,10010,Confirmed Eruption,,,"Puy de Come, Puy Montchier",,Radiogenic: Thermoluminescence,?,-5760,,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6583,210020,Chaine des Puys,10011,Confirmed Eruption,,,"Montcineyre, Estivadoux, Pavin",,Isotopic: 14C (uncalibrated),,-4040,150,,0,0,,,,,,,,,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6584,210040,Calatrava Volcanic Field,10012,Confirmed Eruption,,,Columba,,Isotopic: 14C (calibrated),,-3600,500,,0,0,,,,,,,,,POINT (-4.02 38.87)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6585,225030,"Marra, Jebel",14139,Confirmed Eruption,4,C,Deriba caldera,,Isotopic: 14C (calibrated),?,-2000,,,0,0,,,,,,,,,POINT (24.27 12.95)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6586,225050,Meidob Volcanic Field,14140,Confirmed Eruption,4,P,NE crater of vent VF 57,,Radiogenic: Thermoluminescence,,-6050,1600,,0,0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6587,225050,Meidob Volcanic Field,14141,Confirmed Eruption,,,Central Meidob volcanic field,,Radiogenic: Thermoluminescence,,-5250,500,,0,0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6588,225050,Meidob Volcanic Field,14142,Confirmed Eruption,4,P,Central Meidob volcanic field,,Correlation: Tephrochronology,,-4150,1450,,0,0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6589,225050,Meidob Volcanic Field,14143,Confirmed Eruption,4,P,SW crater of vent VF 57,,Correlation: Tephrochronology,?,-3050,,,0,0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_658a,225050,Meidob Volcanic Field,14144,Confirmed Eruption,4,P,Central Meidob volcanic field,,Correlation: Tephrochronology,?,-3000,,,0,0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_658b,225050,Meidob Volcanic Field,14145,Confirmed Eruption,0,,Vent VF 214,,Radiogenic: Thermoluminescence,,-2950,500,,0,0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_658c,225060,Bayuda Volcanic Field,14146,Confirmed Eruption,,,,,Isotopic: 14C (uncalibrated),,850,50,,0,0,,,,,,,,,POINT (32.75 18.33)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_658d,242010,Curtis Island,14679,Uncertain Eruption,,,,,,,1936,,,6,18,,,1936,,,12,0,,POINT (-178.556 -30.543)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_658e,242010,Curtis Island,14680,Uncertain Eruption,0,,5-6 km NNE of Curtis Island,,,,2009,,,1,18,,,2009,,,1,19,,POINT (-178.556 -30.543)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_658f,256010,Tinakula,15186,Confirmed Eruption,,,,,Isotopic: 14C (uncalibrated),?,-1050,,,0,0,,,,,,,,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6590,256010,Tinakula,15187,Confirmed Eruption,3,^,,,Observations: Reported,<,1595,,,9,7,,,1595,,?,9,14,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6591,256010,Tinakula,15188,Confirmed Eruption,2,,,,Observations: Reported,,1767,,,8,17,,,,,,,,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6592,256010,Tinakula,15189,Confirmed Eruption,1,?,,,Observations: Reported,,1797,,,0,0,,,,,,,,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6593,256010,Tinakula,15190,Confirmed Eruption,3,?,,,Observations: Reported,?,1840,,,0,0,,,,,,,,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6594,256010,Tinakula,15191,Confirmed Eruption,2,,,,Observations: Reported,,1855,,,8,0,,,,,,,,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6595,256010,Tinakula,15210,Confirmed Eruption,1,?,,,Observations: Reported,,2008,,?,9,19,,,2008,,?,11,29,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6596,256010,Tinakula,22239,Confirmed Eruption,3,,Summit crater,,Observations: Reported,,2017,,,10,21,,,2017,,,10,26,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6597,256010,Tinakula,22313,Confirmed Eruption,2,,Summit vent and NW flank,,Observations: Reported,,2018,,<,12,8,,,2024,,,12,31,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6598,256010,Tinakula,15204,Confirmed Eruption,1,?,,,Observations: Reported,,1995,,,7,2,182,,,,,,,,POINT (165.804 -10.386)
Smithsonian_VOTW_Holocene_Eruptions.fid-6270b0b5_19932c51bb0_6599,256010,Tinakula,15205,Confirmed Eruption,1,?,,,Observations: Reported,,1999,,,5,16,15,,,,,,,,POINT (165.804 -10.386)
